Agency,Indicator,hour,sample_count
Nelson City Council,NO3N,15,127
Nelson City Council,NO3N,16,46
Nelson City Council,NO3N,17,15
Nelson City Council,NO3N,18,5
Nelson City Council,PH,7,15
Nelson City Council,PH,8,290
Nelson City Council,PH,9,469
Nelson City Council,PH,10,584
Nelson City Council,PH,11,556
Nelson City Council,PH,12,428
Nelson City Council,PH,13,386
Nelson City Council,PH,14,303
Nelson City Council,PH,15,126
Nelson City Council,PH,16,47
Nelson City Council,PH,17,15
Nelson City Council,PH,18,5
Nelson City Council,TN,7,13
Nelson City Council,TN,8,236
Nelson City Council,TN,9,343
Nelson City Council,TN,10,417
Nelson City Council,TN,11,398
Nelson City Council,TN,12,311
Nelson City Council,TN,13,259
Nelson City Council,TN,14,167
Nelson City Council,TN,15,26
Nelson City Council,TON,7,9
Nelson City Council,TON,8,178
Nelson City Council,TON,9,253
Nelson City Council,TON,10,274
Nelson City Council,TON,11,254
Nelson City Council,TON,12,193
Nelson City Council,TON,13,182
Nelson City Council,TON,14,123
Nelson City Council,TON,15,23
Nelson City Council,TON,17,1
Nelson City Council,TP,7,13
Nelson City Council,TP,8,234
Nelson City Council,TP,9,342
Nelson City Council,TP,10,413
Nelson City Council,TP,11,393
Nelson City Council,TP,12,306
Nelson City Council,TP,13,256
Nelson City Council,TP,14,167
Nelson City Council,TP,15,26
Nelson City Council,TURB,7,14
Nelson City Council,TURB,8,265
Nelson City Council,TURB,9,424
Nelson City Council,TURB,10,550
Nelson City Council,TURB,11,509
Nelson City Council,TURB,12,393
Nelson City Council,TURB,13,341
Nelson City Council,TURB,14,278
Nelson City Council,TURB,15,124
Nelson City Council,TURB,16,47
Nelson City Council,TURB,17,15
Nelson City Council,TURB,18,5
Northland Regional Council,BDISC,6,8
Northland Regional Council,BDISC,7,178
Northland Regional Council,BDISC,8,744
Northland Regional Council,BDISC,9,1197
Northland Regional Council,BDISC,10,1137
Northland Regional Council,BDISC,11,1152
Northland Regional Council,BDISC,12,969
Northland Regional Council,BDISC,13,812
Northland Regional Council,BDISC,14,493
Northland Regional Council,BDISC,15,201
Northland Regional Council,BDISC,16,20
Northland Regional Council,BDISC,17,1
Northland Regional Council,DIN,7,10
Northland Regional Council,DIN,8,162
Northland Regional Council,DIN,9,331
Northland Regional Council,DIN,10,352
Northland Regional Council,DIN,11,334
Northland Regional Council,DIN,12,262
Northland Regional Council,DIN,13,149
Northland Regional Council,DIN,14,46
Northland Regional Council,DIN,15,4
Northland Regional Council,DRP,6,8
Northland Regional Council,DRP,7,190
Northland Regional Council,DRP,8,775
Northland Regional Council,DRP,9,1256
Northland Regional Council,DRP,10,1215
Northland Regional Council,DRP,11,1214
Northland Regional Council,DRP,12,1046
Northland Regional Council,DRP,13,850
Northland Regional Council,DRP,14,512
Northland Regional Council,DRP,15,207
Northland Regional Council,DRP,16,19
Northland Regional Council,DRP,17,1
Northland Regional Council,ECOLI,6,8
Northland Regional Council,ECOLI,7,192
Northland Regional Council,ECOLI,8,780
Northland Regional Council,ECOLI,9,1256
Northland Regional Council,ECOLI,10,1208
Northland Regional Council,ECOLI,11,1174
Northland Regional Council,ECOLI,12,1034
Northland Regional Council,ECOLI,13,847
Northland Regional Council,ECOLI,14,515
Northland Regional Council,ECOLI,15,208
Northland Regional Council,ECOLI,16,19
Northland Regional Council,ECOLI,17,1
Northland Regional Council,NH4,6,8
Northland Regional Council,NH4,7,193
Northland Regional Council,NH4,8,783
Northland Regional Council,NH4,9,1263
Northland Regional Council,NH4,10,1222
Northland Regional Council,NH4,11,1218
Northland Regional Council,NH4,12,1058
Northland Regional Council,NH4,13,853
Northland Regional Council,NH4,14,516
Northland Regional Council,NH4,15,207
Northland Regional Council,NH4,16,19
Northland Regional Council,NH4,17,1
Northland Regional Council,NO3N,6,8
Northland Regional Council,NO3N,7,118
Northland Regional Council,NO3N,8,560
Northland Regional Council,NO3N,9,945
Northland Regional Council,NO3N,10,891
Northland Regional Council,NO3N,11,861
Northland Regional Council,NO3N,12,726
Northland Regional Council,NO3N,13,561
Northland Regional Council,NO3N,14,282
Northland Regional Council,NO3N,15,68
Northland Regional Council,NO3N,16,5
Northland Regional Council,NO3N,17,1
Northland Regional Council,PH,6,8
Northland Regional Council,PH,7,194
Northland Regional Council,PH,8,781
Northland Regional Council,PH,9,1253
Northland Regional Council,PH,10,1238
Northland Regional Council,PH,11,1241
Northland Regional Council,PH,12,1072
Northland Regional Council,PH,13,861
Northland Regional Council,PH,14,518
Northland Regional Council,PH,15,208
Northland Regional Council,PH,16,20
Northland Regional Council,PH,17,1
Northland Regional Council,PH,18,1
Northland Regional Council,TN,6,8
Northland Regional Council,TN,7,120
Northland Regional Council,TN,8,563
Northland Regional Council,TN,9,950
Northland Regional Council,TN,10,919
Northland Regional Council,TN,11,923
Northland Regional Council,TN,12,758
Northland Regional Council,TN,13,603
Northland Regional Council,TN,14,422
Northland Regional Council,TN,15,193
Northland Regional Council,TN,16,20
Northland Regional Council,TN,17,1
Northland Regional Council,TN,18,1
Northland Regional Council,TON,6,8
Northland Regional Council,TON,7,193
Northland Regional Council,TON,8,781
Northland Regional Council,TON,9,1263
Northland Regional Council,TON,10,1224
Northland Regional Council,TON,11,1221
Northland Regional Council,TON,12,1059
Northland Regional Council,TON,13,854
Northland Regional Council,TON,14,515
Northland Regional Council,TON,15,205
Northland Regional Council,TON,16,19
Northland Regional Council,TON,17,1
Northland Regional Council,TP,6,8
Northland Regional Council,TP,7,192
Northland Regional Council,TP,8,779
Northland Regional Council,TP,9,1261
Northland Regional Council,TP,10,1239
Northland Regional Council,TP,11,1242
Northland Regional Council,TP,12,1071
Northland Regional Council,TP,13,857
Northland Regional Council,TP,14,516
Northland Regional Council,TP,15,208
Northland Regional Council,TP,16,20
Northland Regional Council,TP,17,1
Northland Regional Council,TP,18,1
Northland Regional Council,TURB,6,8
Northland Regional Council,TURB,7,192
Northland Regional Council,TURB,8,779
Northland Regional Council,TURB,9,1259
Northland Regional Council,TURB,10,1211
Northland Regional Council,TURB,11,1207
Northland Regional Council,TURB,12,1053
Northland Regional Council,TURB,13,850
Northland Regional Council,TURB,14,515
Northland Regional Council,TURB,15,207
Northland Regional Council,TURB,16,19
Northland Regional Council,TURB,17,1
Otago Regional Council,BDISC,7,32
Otago Regional Council,BDISC,8,612
Otago Regional Council,BDISC,9,1398
Otago Regional Council,BDISC,10,1574
Otago Regional Council,BDISC,11,1365
Otago Regional Council,BDISC,12,1162
Otago Regional Council,BDISC,13,800
Otago Regional Council,BDISC,14,403
Otago Regional Council,BDISC,15,109
Otago Regional Council,BDISC,16,7
Otago Regional Council,BDISC,17,1
Otago Regional Council,DIN,7,13
Otago Regional Council,DIN,8,97
Otago Regional Council,DIN,9,239
Otago Regional Council,DIN,10,284
Otago Regional Council,DIN,11,173
Otago Regional Council,DIN,12,104
Otago Regional Council,DIN,13,33
Otago Regional Council,DIN,14,2
Otago Regional Council,DIN,15,4
Otago Regional Council,DRP,7,30
Otago Regional Council,DRP,8,682
Otago Regional Council,DRP,9,1513
Otago Regional Council,DRP,10,1704
Otago Regional Council,DRP,11,1455
Otago Regional Council,DRP,12,1259
Otago Regional Council,DRP,13,851
Otago Regional Council,DRP,14,413
Otago Regional Council,DRP,15,113
Otago Regional Council,DRP,16,7
Otago Regional Council,DRP,17,1
Otago Regional Council,ECOLI,7,36
Otago Regional Council,ECOLI,8,854
Otago Regional Council,ECOLI,9,1644
Otago Regional Council,ECOLI,10,1805
Otago Regional Council,ECOLI,11,1591
Otago Regional Council,ECOLI,12,1399
Otago Regional Council,ECOLI,13,922
Otago Regional Council,ECOLI,14,451
Otago Regional Council,ECOLI,15,123
Otago Regional Council,ECOLI,16,7
Otago Regional Council,ECOLI,17,1
Otago Regional Council,NH4,7,31
Otago Regional Council,NH4,8,690
Otago Regional Council,NH4,9,1528
Otago Regional Council,NH4,10,1714
Otago Regional Council,NH4,11,1479
Otago Regional Council,NH4,12,1268
Otago Regional Council,NH4,13,859
Otago Regional Council,NH4,14,414
Otago Regional Council,NH4,15,113
Otago Regional Council,NH4,16,7
Otago Regional Council,NH4,17,1
Otago Regional Council,NO3N,7,31
Otago Regional Council,NO3N,8,705
Otago Regional Council,NO3N,9,1550
Otago Regional Council,NO3N,10,1729
Otago Regional Council,NO3N,11,1488
Otago Regional Council,NO3N,12,1273
Otago Regional Council,NO3N,13,866
Otago Regional Council,NO3N,14,418
Otago Regional Council,NO3N,15,113
Otago Regional Council,NO3N,16,7
Otago Regional Council,NO3N,17,1
Otago Regional Council,PH,7,30
Otago Regional Council,PH,8,597
Otago Regional Council,PH,9,1373
Otago Regional Council,PH,10,1550
Otago Regional Council,PH,11,1310
Otago Regional Council,PH,12,1096
Otago Regional Council,PH,13,747
Otago Regional Council,PH,14,381
Otago Regional Council,PH,15,99
Otago Regional Council,PH,16,7
Otago Regional Council,PH,17,1
Otago Regional Council,TN,7,30
Otago Regional Council,TN,8,685
Otago Regional Council,TN,9,1517
Otago Regional Council,TN,10,1704
Otago Regional Council,TN,11,1467
Otago Regional Council,TN,12,1256
Otago Regional Council,TN,13,856
Otago Regional Council,TN,14,410
Otago Regional Council,TN,15,113
Otago Regional Council,TN,16,7
Otago Regional Council,TN,17,1
Otago Regional Council,TON,7,31
Otago Regional Council,TON,8,705
Otago Regional Council,TON,9,1550
Otago Regional Council,TON,10,1729
Otago Regional Council,TON,11,1488
Otago Regional Council,TON,12,1273
Otago Regional Council,TON,13,866
Otago Regional Council,TON,14,418
Otago Regional Council,TON,15,113
Otago Regional Council,TON,16,7
Otago Regional Council,TON,17,1
Otago Regional Council,TP,7,29
Otago Regional Council,TP,8,683
Otago Regional Council,TP,9,1511
Otago Regional Council,TP,10,1700
Otago Regional Council,TP,11,1457
Otago Regional Council,TP,12,1248
Otago Regional Council,TP,13,847
Otago Regional Council,TP,14,408
Otago Regional Council,TP,15,113
Otago Regional Council,TP,16,7
Otago Regional Council,TP,17,1
Otago Regional Council,TURB,7,32
Otago Regional Council,TURB,8,612
Otago Regional Council,TURB,9,1398
Otago Regional Council,TURB,10,1574
Otago Regional Council,TURB,11,1365
Otago Regional Council,TURB,12,1162
Otago Regional Council,TURB,13,800
Otago Regional Council,TURB,14,403
Otago Regional Council,TURB,15,109
Otago Regional Council,TURB,16,7
Otago Regional Council,TURB,17,1
Taranaki Regional Council,BDISC,6,11
Taranaki Regional Council,BDISC,7,239
Taranaki Regional Council,BDISC,8,363
Taranaki Regional Council,BDISC,9,369
Taranaki Regional Council,BDISC,10,396
Taranaki Regional Council,BDISC,11,371
Taranaki Regional Council,BDISC,12,391
Taranaki Regional Council,BDISC,13,359
Taranaki Regional Council,BDISC,14,159
Taranaki Regional Council,BDISC,15,6
Taranaki Regional Council,DIN,6,11
Taranaki Regional Council,DIN,7,239
Taranaki Regional Council,DIN,8,367
Taranaki Regional Council,DIN,9,371
Taranaki Regional Council,DIN,10,399
Taranaki Regional Council,DIN,11,371
Taranaki Regional Council,DIN,12,392
Taranaki Regional Council,DIN,13,359
Taranaki Regional Council,DIN,14,159
Taranaki Regional Council,DIN,15,6
Taranaki Regional Council,DRP,6,11
Taranaki Regional Council,DRP,7,239
Taranaki Regional Council,DRP,8,367
Taranaki Regional Council,DRP,9,371
Taranaki Regional Council,DRP,10,399
