Agency,Indicator,hour,sample_count
Marlborough District Council,DIN,6,7
Marlborough District Council,DIN,7,39
Marlborough District Council,DIN,8,205
Marlborough District Council,DIN,9,536
Marlborough District Council,DIN,10,775
Marlborough District Council,DIN,11,746
Marlborough District Council,DIN,12,627
Marlborough District Council,DIN,13,481
Marlborough District Council,DIN,14,277
Marlborough District Council,DIN,15,58
Marlborough District Council,DIN,16,5
Marlborough District Council,DRP,6,6
Marlborough District Council,DRP,7,57
Marlborough District Council,DRP,8,324
Marlborough District Council,DRP,9,772
Marlborough District Council,DRP,10,1123
Marlborough District Council,DRP,11,1036
Marlborough District Council,DRP,12,907
Marlborough District Council,DRP,13,752
Marlborough District Council,DRP,14,418
Marlborough District Council,DRP,15,84
Marlborough District Council,DRP,16,7
Marlborough District Council,ECOLI,6,6
Marlborough District Council,ECOLI,7,55
Marlborough District Council,ECOLI,8,328
Marlborough District Council,ECOLI,9,774
Marlborough District Council,ECOLI,10,1121
Marlborough District Council,ECOLI,11,1044
Marlborough District Council,ECOLI,12,927
Marlborough District Council,ECOLI,13,757
Marlborough District Council,ECOLI,14,417
Marlborough District Council,ECOLI,15,85
Marlborough District Council,ECOLI,16,8
Marlborough District Council,NH4,6,6
Marlborough District Council,NH4,7,57
Marlborough District Council,NH4,8,325
Marlborough District Council,NH4,9,771
Marlborough District Council,NH4,10,1121
Marlborough District Council,NH4,11,1028
Marlborough District Council,NH4,12,903
Marlborough District Council,NH4,13,746
Marlborough District Council,NH4,14,416
Marlborough District Council,NH4,15,82
Marlborough District Council,NH4,16,7
Marlborough District Council,NO3N,6,6
Marlborough District Council,NO3N,7,57
Marlborough District Council,NO3N,8,326
Marlborough District Council,NO3N,9,771
Marlborough District Council,NO3N,10,1122
Marlborough District Council,NO3N,11,1038
Marlborough District Council,NO3N,12,910
Marlborough District Council,NO3N,13,756
Marlborough District Council,NO3N,14,420
Marlborough District Council,NO3N,15,85
Marlborough District Council,NO3N,16,7
Marlborough District Council,PH,6,6
Marlborough District Council,PH,7,57
Marlborough District Council,PH,8,324
Marlborough District Council,PH,9,773
Marlborough District Council,PH,10,1128
Marlborough District Council,PH,11,1053
Marlborough District Council,PH,12,920
Marlborough District Council,PH,13,752
Marlborough District Council,PH,14,419
Marlborough District Council,PH,15,85
Marlborough District Council,PH,16,9
Marlborough District Council,TN,6,6
Marlborough District Council,TN,7,32
Marlborough District Council,TN,8,124
Marlborough District Council,TN,9,296
Marlborough District Council,TN,10,432
Marlborough District Council,TN,11,448
Marlborough District Council,TN,12,350
Marlborough District Council,TN,13,270
Marlborough District Council,TN,14,150
Marlborough District Council,TN,15,34
Marlborough District Council,TN,16,1
Marlborough District Council,TON,6,6
Marlborough District Council,TON,7,57
Marlborough District Council,TON,8,325
Marlborough District Council,TON,9,769
Marlborough District Council,TON,10,1116
Marlborough District Council,TON,11,1030
Marlborough District Council,TON,12,904
Marlborough District Council,TON,13,745
Marlborough District Council,TON,14,416
Marlborough District Council,TON,15,83
Marlborough District Council,TON,16,7
Marlborough District Council,TP,6,6
Marlborough District Council,TP,7,32
Marlborough District Council,TP,8,124
Marlborough District Council,TP,9,296
Marlborough District Council,TP,10,432
Marlborough District Council,TP,11,448
Marlborough District Council,TP,12,350
Marlborough District Council,TP,13,270
Marlborough District Council,TP,14,150
Marlborough District Council,TP,15,34
Marlborough District Council,TP,16,1
Marlborough District Council,TURB,6,6
Marlborough District Council,TURB,7,57
Marlborough District Council,TURB,8,325
Marlborough District Council,TURB,9,770
Marlborough District Council,TURB,10,1125
Marlborough District Council,TURB,11,1057
Marlborough District Council,TURB,12,928
Marlborough District Council,TURB,13,757
Marlborough District Council,TURB,14,423
Marlborough District Council,TURB,15,86
Marlborough District Council,TURB,16,9
NIWA,BDISC,6,41
NIWA,BDISC,7,138
NIWA,BDISC,8,1213
NIWA,BDISC,9,1895
NIWA,BDISC,10,1504
NIWA,BDISC,11,1762
NIWA,BDISC,12,1390
NIWA,BDISC,13,1929
NIWA,BDISC,14,1635
NIWA,BDISC,15,716
NIWA,BDISC,16,71
NIWA,BDISC,17,16
NIWA,BDISC,18,1
NIWA,DRP,6,41
NIWA,DRP,7,138
NIWA,DRP,8,1213
NIWA,DRP,9,1895
NIWA,DRP,10,1504
NIWA,DRP,11,1762
NIWA,DRP,12,1390
NIWA,DRP,13,1929
NIWA,DRP,14,1635
NIWA,DRP,15,716
NIWA,DRP,16,71
NIWA,DRP,17,16
NIWA,DRP,18,1
NIWA,ECOLI,6,41
NIWA,ECOLI,7,138
NIWA,ECOLI,8,1213
NIWA,ECOLI,9,1895
NIWA,ECOLI,10,1504
NIWA,ECOLI,11,1762
NIWA,ECOLI,12,1390
NIWA,ECOLI,13,1929
NIWA,ECOLI,14,1635
NIWA,ECOLI,15,716
NIWA,ECOLI,16,71
NIWA,ECOLI,17,16
NIWA,ECOLI,18,1
NIWA,NH4,6,41
NIWA,NH4,7,138
NIWA,NH4,8,1213
NIWA,NH4,9,1895
NIWA,NH4,10,1504
NIWA,NH4,11,1762
NIWA,NH4,12,1390
NIWA,NH4,13,1929
NIWA,NH4,14,1635
NIWA,NH4,15,716
NIWA,NH4,16,71
NIWA,NH4,17,16
NIWA,NH4,18,1
NIWA,PH,6,41
NIWA,PH,7,138
NIWA,PH,8,1213
NIWA,PH,9,1895
NIWA,PH,10,1504
NIWA,PH,11,1762
NIWA,PH,12,1390
NIWA,PH,13,1929
NIWA,PH,14,1635
NIWA,PH,15,716
NIWA,PH,16,71
NIWA,PH,17,16
NIWA,PH,18,1
NIWA,TN,6,41
NIWA,TN,7,138
NIWA,TN,8,1213
NIWA,TN,9,1895
NIWA,TN,10,1504
NIWA,TN,11,1762
NIWA,TN,12,1390
NIWA,TN,13,1929
NIWA,TN,14,1635
NIWA,TN,15,716
NIWA,TN,16,71
NIWA,TN,17,16
NIWA,TN,18,1
NIWA,TON,6,41
NIWA,TON,7,138
NIWA,TON,8,1213
NIWA,TON,9,1895
NIWA,TON,10,1504
NIWA,TON,11,1762
NIWA,TON,12,1390
NIWA,TON,13,1929
NIWA,TON,14,1635
NIWA,TON,15,716
